NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	0.5818076	2.09789	0.0	6.470588E-4	0.001	1864	tags=33%, list=13%, signal=38%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	184	0.5076775	1.9943161	0.0	0.0017049396	0.004	2875	tags=41%, list=20%, signal=51%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	84	0.52455616	1.807276	0.0	0.0048173973	0.019	1158	tags=18%, list=8%, signal=19%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	170	0.4217005	1.6289029	0.004464286	0.01954071	0.088	1864	tags=26%, list=13%, signal=29%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	136	0.42203593	1.6029071	0.0	0.0182462	0.099	1662	tags=13%, list=11%, signal=15%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	96	0.41410777	1.4956756	0.018382354	0.03571117	0.212	2573	tags=29%, list=18%, signal=35%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	160	0.33868966	1.2963954	0.04245283	0.11509977	0.612	1706	tags=19%, list=12%, signal=22%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	93	0.2958908	1.0502206	0.3152174	0.46323502	0.99	2797	tags=29%, list=19%, signal=36%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	0.2859603	0.8937727	0.6146789	0.8551686	1.0	690	tags=9%, list=5%, signal=9%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	146	0.2172752	0.8249188	0.922449	0.9311123	1.0	2558	tags=22%, list=17%, signal=26%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	142	0.2125589	0.7973225	0.9285714	0.88846236	1.0	2051	tags=16%, list=14%, signal=19%	
