"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK","7SK",5155.49989022566,4.1515945167286,0.766415292977397,5.41689936874868,6.06414479798925e-08,4.53851734906654e-06
"A1CF","A1CF",129.676305033861,0.257293904252999,0.867887814818078,0.296459864812058,0.766878913265945,0.865600706271018
"A2ML1","A2ML1",771.420898932126,-0.100142212244625,0.887273398470366,-0.112865112847142,0.91013749546684,0.951929192228383
"A4GALT","A4GALT",211.41288130719,-2.55888589320818,0.63455021221837,-4.03259796299238,5.51636073298515e-05,0.00119174514863268
"AAAS","AAAS",1012.44454112673,-2.07183322737616,0.514122298281703,-4.02984510553351,5.58136187550048e-05,0.0011986769425356
"AACS","AACS",1074.96885450987,-0.265124248943816,0.459311340853701,-0.577221212197901,0.563790029306087,0.725522935335643
"AADAC","AADAC",29.9320092403882,3.83604111085285,1.46178951553755,2.62420893711378,0.00868504889571463,0.0488688079214568
"AADAT","AADAT",247.040098842184,-0.966100218037926,0.801539740734344,-1.20530545017371,0.228085406380622,0.414476948307948
"AAED1","AAED1",28.9820821430817,-1.36668756894504,0.920922935952259,-1.48404118910542,0.137797993732169,0.302236658202332
"AAGAB","AAGAB",3028.53200977356,1.00637051278788,0.512394326009455,1.96405475569086,0.0495237423321971,0.156329626914353
"AAK1","AAK1",534.994637847902,-1.1481620200592,0.746325642777455,-1.53841963112283,0.123946045347845,0.283070923121212
"AAMDC","AAMDC",75.3702435025428,-0.55819130081702,1.27380847188434,-0.438206616722599,0.661236512514877,0.794231092813768
"AAMP","AAMP",2135.48194426261,-1.10932363035523,0.399999917242076,-2.77330964967145,0.00554892927257923,0.0357005453945021
"AAR2","AAR2",462.137435352463,-0.313730770348297,0.437128601017291,-0.71770817470689,0.472937241796584,0.65485335094526
"AARS","AARS",6504.89897709515,-1.27028574075529,0.468959293346014,-2.70873348450316,0.00675405704276352,0.0411100675353934
"AARS2","AARS2",161.60599500639,-1.58520760232805,0.955232204015535,-1.65949974850541,0.0970151312884434,0.241806686183878
"AARSD1","AARSD1",222.79312919594,-2.30118458125393,1.16191512342342,-1.98051005177883,0.0476462449929046,0.152977355326806
"AASDH","AASDH",332.293574769345,-0.0556660523722383,0.743542265164916,-0.0748660230631163,0.940321310330304,0.96761308397816
"AASDHPPT","AASDHPPT",304.265678830273,0.317235889865804,0.611452981251461,0.518823032339325,0.603884154820814,0.755511869259404
"AASS","AASS",274.634194444229,-0.991667753925931,0.58962051681276,-1.68187457126911,0.0925931645546393,0.234706951935719
"AATF","AATF",770.400441762153,-1.87603402370589,0.731350777510975,-2.5651630946379,0.0103127317677421,0.0554332950901464
"AATK","AATK",18.3771461465764,-2.15610461648494,1.277372845715,-1.68792112946325,0.091426370011543,0.232750646053009
"AB007962","AB007962",16.1565801127429,-0.502395214317783,1.39317423817328,-0.36061190377488,0.718389589367775,0.834168992831148
"AB075492","AB075492",4.91689964889329,2.42194440317535,3.02654012150599,0.800235353222479,0.423574450323387,0.613092463596335
"AB209061","AB209061",33.3987429870886,-3.96179982175874,1.351615523739,-2.93115886298726,0.00337700038013893,0.0251202933956683
"AB231710","AB231710",20.422693809422,-1.67937295870024,2.33078234570693,-0.720518997320137,0.471205507311071,0.653380620734105
"AB429224","AB429224",39.0948147824653,2.7592673875945,0.965315352541178,2.85841034262095,0.0042576940907572,0.029674501382069
"AB488780","AB488780",4.35407282797957,-4.65703886293226,3.41190824608994,-1.36493672368512,0.17227293869324,0.348438603478065
"ABAT","ABAT",379.201517489696,-2.64419813635442,1.08542035588121,-2.43610516610194,0.0148463674714432,0.0710774688115536
"ABCA1","ABCA1",177.607046567434,1.28975410369356,0.86763471962908,1.48651739552901,0.137142319107113,0.301429529365035
"ABCA10","ABCA10",54.0286683347018,-1.79224335582685,1.3907589656299,-1.28868006615014,0.197509335318254,0.379471439395346
"ABCA11P","ABCA11P",168.906344219769,0.500188194803769,0.857830666782392,0.583085000539685,0.559836080596448,0.722568197801356
"ABCA12","ABCA12",40.4082059801334,2.94369001721836,1.84937549848974,1.59172110781303,0.111447383392685,0.264320398866175
"ABCA13","ABCA13",1170.03980877552,1.68436329922121,0.528058834727911,3.18972657675371,0.00142407458149613,0.0136089576781542
"ABCA2","ABCA2",1616.42394657165,-1.62859920571182,0.837356871447382,-1.94492845433605,0.051783589836421,0.160969162812134
"ABCA3","ABCA3",2762.76164131071,-4.64452270011433,0.777755663867059,-5.97169897422723,2.34795468220978e-09,2.75537177866682e-07
"ABCA5","ABCA5",775.213980888279,2.23001656323124,0.440941435413221,5.05739852082946,4.25014460985325e-07,2.30908782525694e-05
"ABCA6","ABCA6",4.91414715771328,0.939676687786402,2.97701299599176,0.31564413358342,0.752272635149891,0.855653891920164
"ABCA7","ABCA7",216.630590307382,-0.814831382005447,0.604410814852582,-1.34814163145672,0.177612833567998,0.355734933862501
"ABCB1","ABCB1",4.21476950518677,0.732780754363097,3.01669217881821,0.242908693007639,0.808076131185951,0.8925127104336
"ABCB10","ABCB10",506.551815859898,-1.21226765930103,0.480634087050077,-2.52222572631375,0.0116614850438639,0.0601908248094439
"ABCB11","ABCB11",101.852100882188,-0.577671171952719,0.650414547565039,-0.88815844312731,0.3744555291079,0.567154172068537
"ABCB4","ABCB4",6.43127394162955,5.58085335346585,2.71931302889624,2.05230265664969,0.0401402579918014,0.136363465604848
"ABCB6","ABCB6",509.353193450328,0.0574762425972354,0.571650137811006,0.100544439326695,0.919912104077961,0.957532853592609
"ABCB7","ABCB7",1707.94355346439,1.24946614722506,0.478684502008724,2.61020806393746,0.00904871684873389,0.0502786467629081
"ABCB8","ABCB8",150.785476029346,-0.147883935205133,0.766900585051994,-0.192833253863154,0.847089559408833,0.917966130361676
"ABCB9","ABCB9",131.81664677151,0.937662280703858,0.920727830877806,1.01839246002796,0.308491483990142,0.499230927747478
"ABCC1","ABCC1",755.151429530417,-2.25363543509268,0.910151965196333,-2.47610895902041,0.0132823036034291,0.0661140521067872
"ABCC10","ABCC10",202.816225335592,-1.57043561613647,0.826461754576642,-1.90019151816763,0.0574079909631754,0.172282696284538
"ABCC11","ABCC11",3.34281966279161,0.993205621644832,2.76791499377382,0.358828079575767,0.719723705209937,0.835307789974743
"ABCC13","ABCC13",3.67465741081895,2.39409104200691,3.80814188288889,0.628676954701785,0.529560568329792,0.701664165552319
"ABCC2","ABCC2",70.4053154151085,2.14025372211663,0.659461501518122,3.24545666000158,0.00117262412482874,0.0117978211845767
"ABCC3","ABCC3",7486.59031089423,-0.999572552635801,0.590480357423666,-1.69281253824776,0.0904911553210556,0.231498911301807
"ABCC4","ABCC4",634.098092335736,0.450446833842386,0.557202729505281,0.808407443090453,0.418856068611826,0.608698203929748
"ABCC5","ABCC5",412.960715579292,0.990723910605826,0.443688819782347,2.2329251187619,0.0255538828175121,0.1020555151239
"ABCC6","ABCC6",251.145417256135,-0.146137728247466,1.24217231580452,-0.11764690485218,0.90634743828631,0.949793582813393
"ABCC6P1","ABCC6P1",69.1008703868036,-1.01650501061189,1.12631126757853,-0.902508072033486,0.366787035420529,0.55995618422797
"ABCC6P2","ABCC6P2",10.039964707927,-1.29740105344481,1.67101001384695,-0.776417282178918,0.437502643722333,0.625345536624083
