"","rnk"
"ALDH1A1",44.7360605769646
"GPR128",30.8930926006718
"MEP1A",27.1985694362647
"IFITM1",22.7345493704184
"FAM134B",21.9430986541891
"NPSR1",18.748013231748
"TM4SF20",18.7323538691896
"GUCY2C",17.6397303702758
"FAM3D",17.3037512117288
"LMO4",17.0751400113417
"HIST3H2A",16.7623535130782
"CEACAM18",16.6150624118228
"NR1H4",16.3957963533956
"MMP1",16.3856235599971
"TNNT3",15.6277936092854
"TMEM45A",15.1888670204351
"SI",14.8147042096593
"LY6K",14.7567508671546
"DKFZp547E087",14.435760531527
"FABP2",14.4238361257171
"LINC00668",13.8527852793542
"EPHA8",13.4939296702306
"FAM3B",13.2037029826806
"AKR1B10",12.9724713854833
"KRT20",12.8106950910152
"FABP1",12.7674221239345
"STOX1",12.4311100881208
"LOC93432",12.3915781581082
"ENPP5",12.3507115676307
"ZNF880",12.3158696325562
"CHP2",12.312221507576
"MS4A8",12.2282505278361
"FAM105A",12.0476427412278
"GATSL1",11.9357788291844
"ZNF549",11.3569323461726
"SLC9C1",10.8996696642835
"CADPS",10.8417789007396
"AGTPBP1",10.7993226825185
"ADM",10.782964751722
"RPPH1",10.5306777041371
"FTL",10.4511225421646
"SCGB2A1",10.370881055295
"ISPD",10.3504591966477
"BTNL8",10.1893143191694
"SLC26A3",10.1195063381848
"PGBD3",10.1112593313177
"POF1B",9.88950942665986
"TMEM38B",9.8258041063675
"ZNF702P",9.78298559515455
"C15orf26",9.70794688519807
"SEPW1",9.67167648600165
"NTRK2",9.46484849431684
"CD70",9.25186853973186
"C12orf63",9.2302733634513
"SULT1B1",9.06861037500729
"CRYL1",9.03814592672526
"RAMP1",8.99128309544676
"DENND2A",8.8640504432751
"ENPP4",8.76280434110747
"LIPC",8.73398257738227
"SMA4",8.61739654177736
"ACRC",8.58627854086851
"NBPF4",8.53388314094626
"CYP3A4",8.48936204492109
"RANBP17",8.39864941471387
"ZNF331",8.34668651693034
"MTTP",8.26912798663294
"SLC6A20",8.2539936377882
"ANPEP",8.21587628078296
"ZNF461",8.1497075669143
"GPA33",8.06792849210805
"UGT2B7",8.058111110175
"C11orf86",7.9992743702139
"SLC35A3",7.65684692130584
"KCNK1",7.5902627814375
"RIC8B",7.57039245096992
"SCARNA5",7.41710258875032
"ZNF608",7.37898682822791
"PTPN22",7.27472072042148
"LGALS4",7.2571679476756
"7SK",7.21723043728746
"SAMD5",7.13160762375182
"HIST3H2BB",7.11202746323256
"OGT",7.09627133027159
"CPO",7.08283982133729
"BTNL3",6.99018266666503
"PIR",6.933931646903
"CLCN5",6.91565590540551
"SULT1C2",6.89442244866833
"SEPP1",6.8648133328732
"CDX1",6.79651651027091
"AKR1C1",6.7857048010173
"PIWIL4",6.71325524921953
"RBP7",6.69428478707438
"PLAC8",6.68927631293935
"C4BPB",6.64971223787837
"IGFL2",6.63271863226438
"FNIP1",6.57563304052244
"CNGA1",6.56254211798043
"CATSPER3",6.51633362049029
"XPNPEP2",6.49257761987373
"CYP39A1",6.48811006530011
"EFNA1",6.46089957701735
"KRT14",6.45914649720369
"HSD17B2",6.44667707704686
"SNX10",6.42553667639221
"IFI44L",6.42206348561315
"ABCA5",6.37159629296313
"ANKRD36B",6.31505355640366
"GPR137B",6.21914023820471
"ZNF420",6.14342427680731
"ZCCHC12",6.11325342923506
"GRIN2C",6.08059219665436
"MOSPD2",6.06641993635815
"DPY19L3",6.05379651624566
"GABRE",6.0190322952204
"RIMKLA",5.99488754964801
"C5orf45",5.98741326029792
"FXYD3",5.93610368383135
"KHDRBS3",5.89206719841154
"GUSBP1",5.88688554161379
"DENND1B",5.86202642838068
"RARB",5.85252607466975
"ZKSCAN1",5.82465066248942
"IFI6",5.72064337078784
"TCP11L2",5.71781542150787
"UPB1",5.68377817061416
"PLEKHS1",5.67901540011385
"RNF115",5.64537511106697
"COX7B",5.64339983403988
"ZNF649",5.56708806325127
"DYNC1I1",5.51253411572774
"SCARNA2",5.50009199765138
"MAT2B",5.49690031159417
"TDRD7",5.46967851843282
"PCK1",5.4683843764697
"ABCG2",5.46726497353845
"TBPL1",5.45079774281147
"REG4",5.42941642532652
"ACVR2A",5.39104613297474
"DHRS3",5.38990044509141
"STOML3",5.38469538925438
"CRIPT",5.38170463459029
"GCNT4",5.35917331835356
"SLC5A1",5.34269126212118
"CTH",5.32081648167119
"CCDC162P",5.32052650669493
"KCNT1",5.28245913112056
"CENPV",5.25755963689715
"C1orf21",5.23953068358384
"MGAT4A",5.20933501515468
"SPIN2A",5.19445267468735
"TNFSF10",5.19360629464797
"FAM35DP",5.18475581044461
"YIPF6",5.15664012525173
"TSPAN1",5.1252078821411
"SERTAD1",5.11966824651156
"C4BPA",5.08192026225084
"CDHR3",5.06273287358713
"CD55",5.06203420824471
"GCNT3",5.06116627895033
"PSMD8",5.05260749184347
"CDCA7",4.99935588268833
"RRN3P1",4.98585434848833
"SWT1",4.98333869406074
"PPP2R5A",4.94028206524124
"IL36RN",4.93173571692613
"COMMD7",4.9306755552768
"MTMR8",4.91995945715857
"LGALS3",4.91217391363878
"KCNE3",4.89517687355956
"TDRD3",4.87648442607631
"RICTOR",4.85908653408587
"C8orf33",4.85871000287605
"PLCG2",4.83282384078119
"PSMB9",4.80470247486387
"CNKSR3",4.79368944202008
"DYNC2H1",4.78543724806309
"NEK5",4.77809065241707
"CCK",4.76593039294295
"AP3S1",4.75218523069577
"IFIT1",4.74502073436222
"ZNF577",4.73661924141294
"DPY19L2P1",4.73054054561837
"TRIM22",4.72152564680789
"IL6R",4.71877195285301
"CCSER1",4.71031849628178
"CDC42",4.70875663371666
"C5orf30",4.69933175415398
"TBC1D9",4.68663378409004
"MAT2A",4.6805630476163
"PPP1R1B",4.68028627529324
"HEPH",4.67743912641277
"AK4",4.67362165342868
"SNX13",4.6719705293094
"SULT1C3",4.66791748548862
"C9orf171",4.65927135732399
"OASL",4.64659617798027
"SLC25A33",4.62847584026496
"TTC14",4.62636772487535
"RPS18P9",4.57325131674174
"PDE3B",4.54333591224215
"NDUFA1",4.52976743129849
"SLC25A14",4.52765502969798
"PPCS",4.51952414080353
"LRRC66",4.51828757913631
"ERGIC3",4.51814935138808
"TBC1D8B",4.50421589242471
"KRT23",4.48630883045989
"BBS12",4.48459227338928
"ANKAR",4.48421863601168
"RSAD2",4.48270506691233
"ZNF81",4.47533447009681
"HEPACAM2",4.4712088489927
"RPAP2",4.47015629162755
"Metazoa_SRP",4.46267225202095
"CHRNA7",4.45160454563293
"NQO2",4.42335612579767
"MAN1A1",4.41670324457471
"LRRC28",4.40468559027013
"PDE6D",4.3887300079226
"TMEM183A",4.34585644378438
"NEK11",4.33568483787512
"KBTBD3",4.32616422835729
"PRUNE2",4.3158562569813
"CITED1",4.31410710285512
"ATG4A",4.30889469795584
"TXNIP",4.30734050985031
"MAN1A2",4.30597592757562
"CEP192",4.30394502699812
"SCARNA10",4.29484152907543
"APOOL",4.28277222585985
"POP4",4.27823901438059
"SCARNA6",4.25264225543163
"IFI27L1",4.24727685418889
"TMEM54",4.24086248836709
"MFSD4",4.23650231866424
"STK17A",4.23436782875061
"SLC51B",4.22217246288861
"GOLGA7",4.20948346030658
"N6AMT2",4.19529372497336
"ZSCAN26",4.16335286960407
"INIP",4.1494084691512
"TMEM117",4.14733253929055
"GRPEL2",4.13553313863522
"TEX9",4.13385790072889
"WFDC3",4.11771659745423
"TLDC2",4.11514882144479
"STXBP3",4.11406782130615
"FAM228B",4.10582340433917
"RAB4B",4.09400391847798
"RNF14",4.08761860036409
"FBXW7",4.08714915062848
"COX6A1",4.08215093555682
"ZNF596",4.06247738368328
"NIT1",4.04153169987242
"COX7C",4.03876816840588
"TSGA10",4.03306335418026
"CHIC1",4.01560018828478
"ZNF593",4.0129079872228
"CARKD",3.98981596606228
"GABPB2",3.98435016318127
"LIFR",3.97728986068575
"RIOK3",3.96175062617027
"FAM131B",3.94828679239634
"CXCR7",3.94352472066232
"TTC39C",3.94129343873076
"ZNF530",3.93398858804214
"RARRES1",3.9277179492665
"NDFIP2",3.92692981508374
"FKBP1B",3.91641546403706
"HIST1H4C",3.91348157305969
"RASGEF1B",3.91070105839615
"RNF19B",3.90665259316508
"EPHX4",3.90070845543158
"UBE2A",3.89183905681149
"PLK1S1",3.8901342007886
"COX6B1",3.88886341265933
"CAMTA1",3.8823799184496
"RALGPS2",3.87458099827923
"TRIM31",3.85962241579911
"SMPDL3A",3.85860470318684
"ANG",3.85518278929507
"SAMD13",3.8478161265819
"PRDX4",3.84549503381739
"B2M",3.83639519094796
"IQGAP2",3.82230263092241
"CTSS",3.80422289018529
"AURKC",3.80363003893605
"BATF",3.800296557265
"JHDM1D",3.79108508437883
"ATP8A1",3.78378124966868
"PTPRR",3.77471559923567
"C6orf170",3.74887476984377
"CMPK2",3.7459359048967
"FPGT",3.74106417709956
"CCDC148",3.73160131870892
"STAG3",3.72711233048347
"MTERFD3",3.71401755297293
"USF1",3.69576385092999
"MED28",3.69156733898243
"SIAH1",3.68826522412344
"TESK2",3.68772011755482
"KIAA0825",3.68535174793085
"MTRF1",3.68121155803577
"IFT52",3.6793543641173
"HIST1H2AE",3.66559666639843
"ATF7IP2",3.66246075929899
"ATP10B",3.65719246840908
"ROMO1",3.64868642702824
"RCBTB1",3.64441499592573
"PKN2",3.64051360486143
"COMMD10",3.63984134118923
"ZNF600",3.63659092881078
"SEPT3",3.63594484224447
"GSKIP",3.63299516361374
"APLF",3.61586665388242
"CLCN1",3.61317637394536
"CAB39L",3.59474019494447
"ARHGAP10",3.59231065096397
"POC1B",3.58443637146206
"LAMTOR5",3.57773797666926
"GADD45G",3.57000969007178
"EIF3K",3.54698009689066
"GPATCH2L",3.54560097859903
"ZDHHC13",3.5389907118079
"WIF1",3.52957286557684
"CDC42SE2",3.52889965333448
"BTBD8",3.52031117972368
"FBXL3",3.51716330873296
"ZNHIT1",3.51406801295621
"SLC17A4",3.51050929526658
"HAX1",3.50537409163975
"ANKRD44",3.49396401317158
"DNAJC6",3.49142730443763
"UBA2",3.49071669619974
"F2RL1",3.49032200957035
"COX5B",3.48963116865328
"CLYBL",3.48153857529015
"XIAP",3.48062778786919
"LIN37",3.47884979121357
"ABHD13",3.47797562499801
"H3F3A",3.47768657975963
"POLR3C",3.47736940451726
"SLC46A3",3.47182759656048
"CHST4",3.47154752132113
"GUSBP9",3.45788098348226
"RAVER2",3.45612248520975
"CCDC84",3.44471941871176
"OAS1",3.44429950419662
"ANKRA2",3.44345042164435
"SIVA1",3.43806942182959
"CYB5R4",3.435423812698
"CCNG1",3.43068902341715
"ZNRF2",3.42464506339931
"TGFBR3",3.41803402446525
"DSC3",3.41748891333268
"MAN2A1",3.41486624881843
"DEPDC7",3.40830863910209
"WFDC12",3.40799814865757
"SLMO2",3.40565801090659
"LRIG2",3.40198148370026
"KLK12",3.39882895291293
"C1orf85",3.39801920407805
"FRMD1",3.39350931597396
"CCDC107",3.3853332968259
"DQ786325",3.38118483925593
"UQCRQ",3.37947823061809
"TIMM50",3.36831121436197
"SF3B1",3.35965377595945
"CYSTM1",3.35573179765841
"LAMTOR4",3.3479746523401
"NMNAT1",3.33775094782411
"INHBB",3.32794157775128
"TCTA",3.31887725925517
"HIST1H4L",3.318270139394
"CES2",3.31777298752397
"CA5B",3.31370118902887
"COX4I1",3.31358736659304
"LIN7B",3.31225476389915
"CNTFR",3.30852759976369
"TEFM",3.30706071144318
"C1orf27",3.30606506835317
"MARCH3",3.30327217893532
"KLHL24",3.30258000586808
"EFCAB7",3.2976387624173
"GDPD1",3.29679803305071
"C5orf56",3.28251062883839
"ARMCX5",3.28225345791303
"LUM",3.28164774845286
"ATP6AP2",3.28047584931658
"LAMA1",3.27394023014568
"XAF1",3.2720040199893
"OSER1",3.27062022801502
"SLC25A5",3.26487723194698
"LRRC49",3.26101011659292
"COX7A2",3.25960800984085
"TXNDC17",3.25802706297
"SEMA5A",3.25608850020366
"GTF3A",3.25594788334779
"CRB3",3.25182758944815
"TMEM106B",3.24824443882451
"SCARNA16",3.24721712268601
"AGR3",3.24594497652033
"TRIM69",3.24388941797224
"PPP4R1",3.22876125663791
"GEMIN7",3.22838677204648
"ZNF684",3.22719741885243
"ODF2L",3.22288895771124
"UFM1",3.2166027835481
"CDKL4",3.21422030485729
"FAR2",3.21223000644788
"EFCAB13",3.21109746918726
"SNTN",3.20889612829557
"AK097370",3.1988219866435
"C5orf54",3.19853509991282
"CD9",3.1979965358888
"CDADC1",3.19483922371772
"USP33",3.19388154606342
"COG2",3.19219649513376
"TMEM147",3.19138326699758
"LOC100506060",3.18911410338127
"FAM81B",3.18876428808032
"FANCB",3.18728528038521
"NDFIP1",3.18030398052065
"THAP3",3.17170148043441
"WDR78",3.16128814638954
"SPANXE",3.15006457893203
"ZNF383",3.14507135053862
"PTPN13",3.14378790748626
"ZCCHC9",3.14267438009888
"IFI44",3.14006464495405
"SMA5",3.13768959760777
"LANCL3",3.13622001521822
"BLZF1",3.12839066886759
"TFF2",3.12304161018809
"TMEM45B",3.12200125690125
"ENTPD1",3.12169675228731
"UQCC",3.11901603268705
"ATG12",3.11755091345376
"ARL4A",3.11560263262393
"SOSTDC1",3.11024045545411
"CHMP1B",3.10842144956045
"COA6",3.0992400766064
"BLVRB",3.09911750850607
"CLDND1",3.09825460280067
"UGP2",3.09735412956628
"COG3",3.09720404696061
"MPC1",3.0938928596485
"TMEM106C",3.09297661305417
"AKR1A1",3.09293746906845
"CHMP2A",3.08997212618088
"CDKL3",3.0857457618889
"CXorf57",3.0847750263033
"LZIC",3.08157167141735
"ZFAND6",3.07896115423666
"DEDD2",3.07347130975211
"CYB5R1",3.07196923847877
"GK",3.07067660750737
"SPATA1",3.06758133855142
"IFIT3",3.06271736558225
"ZNF846",3.06105289593512
"ZSWIM3",3.05335576186246
"LOC100505876",3.05251169219506
"ZCCHC10",3.04831023670201
"ALG5",3.04466161025714
"CCDC42B",3.04270681049271
"PSMB4",3.03740607525822
"LRRIQ1",3.03687710326187
"VRK3",3.02867229628927
"PLGRKT",3.02740311613173
"ISG15",3.02661814230243
"ZNF181",3.02575560662404
"CASP1",3.02496740279233
"CCDC91",3.02431319580238
"ATRAID",3.02415174940025
"NUP210L",3.01922030840322
"MRPL22",3.018018786072
"MPC2",3.01561688061079
"ZDHHC21",3.0139847237742
"PPM1D",3.01057862296678
"HLA-DRA",3.00543788828708
"TBC1D23",3.00257911349969
"RSBN1",3.00068746485345
"CCDC126",2.99852982083519
"NPHP3-ACAD11",2.99696302648418
"EFCAB5",2.99323456517102
"MED29",2.98978485998651
"MYNN",2.98787816807005
"ZNF124",2.98765770146672
"PDK3",2.9843741077523
"RAE1",2.9810421375889
"VWA8",2.97612755632683
"ZNF449",2.97401388532085
"ANKRD12",2.97249941423217
"TIMM10B",2.96976843895123
"SLC35G2",2.96869055065311
"ZNF432",2.96768099030018
"IFI27",2.96631904910509
"GORAB",2.95806865440274
"MYEOV2",2.95211145129547
"GSDMB",2.95056931938936
"RPS11",2.95048375658839
"HP08716",2.94784210743017
"DQX1",2.94502855625828
"TMSB10",2.94325894786848
"ADH4",2.93762979697907
"PDRG1",2.93425255528076
"ATP6V0E1",2.9339201596141
"MAGEH1",2.93109955317521
"ABCC2",2.93084117515871
"KANSL1L",2.9290907302741
"MINOS1",2.92815961255227
"DUSP22",2.91787341972002
"CBLC",2.91684233178548
"RP2",2.91216419022602
"CYP4F2",2.91190893530595
"TBP",2.90779111273473
"CDRT1",2.90491741723296
"DPM3",2.9024408857874
"CLDN7",2.90077247087138
"ATPIF1",2.89649243119842
"C20orf24",2.88840067029708
"TMEM98",2.88748818406546
"SLC39A9",2.88475818157901
"TGIF1",2.8810108212206
"TMEM50B",2.8789848171982
"ANO5",2.87799541944779
"SPATA6",2.87727858802906
"QPCTL",2.86985150938151
"UBE3D",2.86694657540381
"ZBTB8A",2.86549316381738
"LEMD1",2.864699638349
"PHPT1",2.86396023369655
"CKS1B",2.86362521609934
"STX8",2.86301416335447
"FASTKD3",2.8614237248309
"TMEM70",2.85907994315968
"HINT1",2.8562468627474
"TIMM17B",2.85593630584527
"ALG6",2.85480121052658
"FBXO4",2.84883548630805
"ABCA13",2.84646726527498
"ZNRD1",2.8457519939073
"MME",2.84290264430981
"WDR73",2.83830505450245
"C1orf43",2.83059933750359
"FZD3",2.82942075139357
"TSPAN31",2.82622178824137
"SUB1",2.82206544040349
"GINM1",2.82201183327402
"CGRRF1",2.8185353685784
"FOXN3",2.81798536543549
"STAG2",2.81340303292936
"TANK",2.81308027048395
"CAPZA2",2.81262305903152
"PCMTD2",2.81251652744349
"MTMR11",2.80963879011611
"DNAH14",2.80461616955166
"CATSPERB",2.80442410182709
"SEP15",2.80288016862125
"GRAMD3",2.79910000640636
"AXIN2",2.79459126117663
"VAPA",2.78887966228219
"ZNF614",2.78030864388643
"RTP4",2.77944113205417
"CENPI",2.77485021855683
"TSPAN6",2.76406666785972
"SLC44A5",2.76315217686596
"HAO2",2.76192488591633
"TMEM59",2.76064820422484
"COMMD8",2.75916900537774
"BTBD3",2.75571077658841
"ARID5B",2.75562209522059
"AX746775",2.7544985720783
"TRPM7",2.75273646393597
"STK17B",2.75230649006305
"HEATR5A",2.75136595513741
"CEBPG",2.74880522786675
"UXT",2.74809382777743
"NSUN4",2.74252732311878
"TRAPPC13",2.73386196994241
"TARBP1",2.73376693242947
"GRAMD1C",2.7308720490367
"LOC440335",2.73086424973648
"LAMTOR2",2.72997401487677
"C12orf57",2.72852791292158
"MLF1",2.72760221847344
"ZNF585A",2.7266733705353
"RPP21",2.72382411200871
"TMEM50A",2.72243644021037
"EBF2",2.7218769532631
"ULK4",2.71776414922228
"C11orf31",2.71364859974736
"SELT",2.71256958041694
"HBP1",2.71082248488449
"PDZD11",2.71006504924458
"SOX5",2.70512699713625
"MLX",2.70411652701318
"GSTK1",2.70232966792467
"DCUN1D4",2.70084541708365
"CDH23",2.69728308713433
"RLF",2.69669928490271
"MRPL48",2.69459443845851
"TPD52",2.69120705298573
"TSC22D1",2.6876526078697
"SLC44A1",2.68721528340074
"DNTTIP1",2.68376767191506
"INTS10",2.68309811270423
"CHST2",2.68252175089583
"LRRC36",2.68045687745879
"S100A4",2.67833592330336
"UHRF1BP1L",2.67798693933297
"BTF3L4",2.67748336985169
"ZNF83",2.67347340726131
"PDCD2L",2.66521440784535
"EIF4EBP3",2.66436351407952
"MRPL36",2.66402189683824
"SLPI",2.65828685407405
"UBL5",2.65713962770758
"PRMT7",2.65680278719722
"TBCEL",2.65539476117171
"GUK1",2.65093090816172
"ANGEL2",2.65081737554677
"SAR1B",2.65070511714015
"ATP5J2",2.64884954774134
"GIN1",2.64804825662132
"ZNF691",2.64752773527678
"LIPT1",2.64525820113205
"ZNF460",2.64448622153511
"RNF114",2.64315848609812
"AKIRIN1",2.64287211218819
"PTPRVP",2.64285878757353
"EFNA3",2.64194142764461
"HYLS1",2.64156284996512
"BUD31",2.63404699307249
"UBE2B",2.62964484338231
"LY6E",2.6270647753908
"ZFYVE16",2.62639936845493
"ANAPC11",2.62539119302121
"KATNBL1",2.6250554328545
"PPP2R3C",2.62488667917837
"ECEL1",2.62303025819906
"FAM229B",2.62024626755045
"WNT16",2.6181711832574
"NSMCE2",2.61753552029852
"SGSM1",2.6148198009698
"ELF2",2.61450448870937
"RMI1",2.61197869394319
"NDUFA2",2.60966707166804
"TMEM62",2.6068028208045
"PSMA6",2.60038303679139
"LOC100505633",2.59398846789362
"TMEM163",2.59080848582746
"KLHDC2",2.5899905802607
"DTWD2",2.58478770949996
"DEF8",2.5842894471961
"RAB9A",2.58393484768248
"ERBB2IP",2.57550575064751
"CYP27A1",2.57408993775946
"CROT",2.57300304464195
"PEX11B",2.57165417766585
"DIAPH2",2.57080078778635
"ZNF528",2.57068128601231
"JTB",2.56892282990684
"ELF3",2.56796628437041
"SH3BGR",2.55913755060161
"SETD3",2.55890316641792
