gene_id	transcript_id.s.	length	effective_length	expected_count	TPM	FPKM
5S_rRNA	uc021ofx.1,uc021olu.1,uc021ome.1,uc021oov.1,uc021opl.1,uc021osl.1,uc021ovd.1,uc021ovp.1,uc021pdq.1,uc021pdv.1,uc021pdw.1,uc021ped.1,uc021pff.1,uc021pft.1,uc021phz.1,uc021pmi.1,uc021pmw.1,uc021pnb.1,uc021poq.1,uc021pou.1,uc021ptv.1,uc021pwj.1,uc021pwo.1,uc021pxx.1,uc021qdg.1,uc021qeb.1,uc021qfe.1,uc021qmn.1,uc021qox.1,uc021qqc.1,uc021qqh.1,uc021qsf.1,uc021qvm.1,uc021qzz.1,uc021rcl.1,uc021rij.1,uc021rjt.1,uc021rli.1,uc021rlm.1,uc021rln.1,uc021rmi.1,uc021rmm.1,uc021rva.1,uc021rwx.1,uc021rym.1,uc021sjn.1,uc021snj.1,uc021stz.1,uc021tcu.1,uc021tcv.1,uc021tfq.1,uc021tjk.1,uc021tly.1,uc021tnx.1,uc021tov.1,uc021ubz.1,uc021ujp.1,uc021urx.1,uc021vfh.1,uc021vfo.1,uc021vfu.1,uc021vhy.1,uc021vib.1,uc021vih.1,uc021vjl.1,uc021vjp.1,uc021vju.1,uc021vnc.1,uc021vqb.1,uc021vqp.1,uc021vrv.1,uc021vrx.1,uc021vtp.1,uc021vvw.1,uc021vzi.1,uc021wah.1,uc021wds.1,uc021wek.1,uc021wfa.1,uc021whx.1,uc021wjp.1,uc021wog.1,uc021wpw.1,uc021wuf.1,uc021wuz.1,uc021wyq.1,uc021wzq.1,uc021wzu.1,uc021wzx.1,uc021xai.1,uc021xde.1,uc021xdi.1,uc021xeg.1,uc021xeo.1,uc021xev.1,uc021xez.1,uc021xfx.1,uc021xlz.1,uc021xqf.1,uc021xsq.1,uc021xug.1,uc021xwn.1,uc021xxd.1,uc021xxi.1,uc021xys.1,uc021yks.1,uc021ymh.1,uc021zdo.1,uc021zea.1,uc021zez.1,uc021zfd.1,uc021zft.1,uc021zgc.1,uc021zgn.1,uc022abq.1,uc022akm.1,uc022amt.1,uc022aor.1,uc022atj.1,uc022atr.1,uc022att.1,uc022avo.1,uc022axx.1,uc022bex.1,uc022bia.1,uc022bkv.1,uc022blh.1,uc022bll.1,uc022blx.1,uc022bmb.1,uc022bnt.1,uc022bvb.1,uc022byo.1,uc022bzg.1,uc022cdx.1,uc022cer.1,uc022cgh.1,uc031tkn.1	114.78	1.94	14.31	183.63	237.66
5_8S_rRNA	uc022blm.1	161	14.55	0	0	0
6M1-18	uc010jrh.1	473	290.55	0	0	0
7M1-2	uc003wdr.3	68	0	0	0	0
7SK	uc021okx.1,uc021onz.1,uc021ood.1,uc021opr.1,uc021oqh.1,uc021oql.1,uc021peu.1,uc021pgn.1,uc021pjn.1,uc021pkw.1,uc021poa.1,uc021pok.1,uc021prs.1,uc021pvp.1,uc021pxy.1,uc021pyd.1,uc021qea.1,uc021qgj.1,uc021qjg.1,uc021qmf.1,uc021qsa.1,uc021qvo.1,uc021ras.1,uc021rby.1,uc021rcb.1,uc021ree.1,uc021ref.1,uc021req.1,uc021rio.1,uc021rkc.1,uc021rls.1,uc021rlx.1,uc021rxe.1,uc021ryi.1,uc021sbr.1,uc021snk.1,uc021tff.1,uc021tig.1,uc021tlm.1,uc021tlu.1,uc021tlv.1,uc021tvr.1,uc021uag.1,uc021ual.1,uc021ugk.1,uc021ujh.1,uc021ujn.1,uc021veg.1,uc021vgp.1,uc021vhc.1,uc021vhv.1,uc021vnm.1,uc021vpx.1,uc021vqa.1,uc021vtz.1,uc021vuc.1,uc021wan.1,uc021wav.1,uc021wcm.1,uc021wcp.1,uc021wdw.1,uc021wew.1,uc021wlw.1,uc021wmf.1,uc021wmi.1,uc021wnk.1,uc021wor.1,uc021wzn.1,uc021xfb.1,uc021xgl.1,uc021xgz.1,uc021xhn.1,uc021xho.1,uc021xia.1,uc021xit.1,uc021xkx.1,uc021xnw.1,uc021xom.1,uc021xpt.1,uc021xqa.1,uc021xqe.1,uc021xqg.1,uc021xri.1,uc021xsh.1,uc021xsw.1,uc021xtx.1,uc021xus.1,uc021xuv.1,uc021xwt.1,uc021xxu.1,uc021ycc.1,uc021yce.1,uc021yci.1,uc021yco.1,uc021yhh.1,uc021zaf.1,uc021zat.1,uc021zcs.1,uc021zee.1,uc021zeq.1,uc021zfi.1,uc021zfs.1,uc021zgf.1,uc022ahv.1,uc022ajs.1,uc022akn.1,uc022amj.1,uc022aqs.1,uc022atx.1,uc022auz.1,uc022avb.1,uc022axn.1,uc022azc.1,uc022azk.1,uc022bap.1,uc022bbl.1,uc022bbo.1,uc022bdt.1,uc022bge.1,uc022bic.1,uc022blg.1,uc022bmq.1,uc022btd.1,uc022bts.1,uc022bzn.1,uc022cab.1,uc022cfk.1	303.31	123.71	1599	321.78	416.45
A1BG	uc002qsd.4,uc002qsf.2	1766	1583.42	10	0.16	0.2
A1BG-AS1	uc002qse.3,uc002qsg.3	1924	1741.42	0	0	0
A1CF	uc001jjh.3,uc001jji.3,uc001jjj.3,uc001jjk.1,uc009xov.3,uc010qhn.2,uc010qho.2	4789.18	4606.62	165	0.89	1.15
A2M	uc001qvk.1,uc009zgk.1	4493	4310.42	3	0.02	0.02
A2M-AS1	uc009zgj.1	2187	2004.42	0	0	0
A2ML1	uc001quz.5,uc001qva.1,uc001qvb.1,uc010sgm.3	4836.97	4654.39	302	1.62	2.09
A2MP1	uc021qum.1	1201	1018.42	0	0	0
A3GALT2	uc031plq.1	1023	840.42	0	0	0
A4GALT	uc003bdb.3,uc010gzd.3,uc021wqo.1,uc021wqp.1,uc021wqq.1,uc021wqr.1	1433.78	1251.2	241	4.8	6.21
A4GNT	uc003ers.2	1771	1588.42	0	0	0
AA06	uc002hhv.3	632	449.43	0	0	0
AAAS	uc001scr.4,uc001scs.4	1837	1654.42	1413	21.26	27.52
AACS	uc001uhc.3,uc001uhd.3,uc009zyg.2,uc009zyh.3,uc009zyi.3	3295.11	3112.52	1027	8.21	10.63
AACSP1	uc003mjk.3,uc011dgk.2,uc011dgl.2	2605.33	2422.75	0	0	0
AADAC	uc003eze.3	1606	1423.42	1	0.02	0.02
AADACL2	uc003ezc.3,uc010hvn.3	1388.5	1205.92	0	0	0
AADACL3	uc001aug.1,uc009vnn.1	3940.5	3757.92	0	0	0
AADACL4	uc001auf.3	1575	1392.42	0	0	0
AADAT	uc003isr.3,uc003iss.3,uc003ist.3	2130.67	1948.09	556	7.11	9.2
AAED1	uc004awm.3	1225	1042.42	81	1.93	2.5
AAGAB	uc002aqk.5,uc010uju.3,uc031qsm.1	3141.17	2958.59	3540	29.79	38.55
AAK1	uc002sfp.2,uc010fdk.2,uc010fdm.1,uc010yqm.1	3501.27	3318.69	236	1.77	2.29
AAMDC	uc001oyp.3,uc001oyq.3,uc001oyr.1	512.72	330.22	191	14.4	18.64
AAMP	uc002vhk.3,uc002vhl.3	1793.31	1610.72	2754	42.57	55.09
AANAT	uc002jro.3,uc010wte.2,uc021udg.1	1280.33	1097.75	0	0	0
AAR2	uc002xfc.3,uc002xfe.2	2486	2303.42	603	6.52	8.43
AARD	uc003yof.3	1786	1603.42	0	0	0
AARS	uc002eyn.1,uc010vlu.1	3344	3161.42	6186	48.71	63.04
AARS2	uc010jza.1	4782	4599.42	54	0.29	0.38
AARSD1	uc010cyu.2,uc031raq.1	1364	1181.42	275.82	5.81	7.52
AASDH	uc003hbn.3,uc003hbo.3,uc003hbp.3,uc003hbq.1,uc010ihb.3,uc010ihc.3,uc011caa.2,uc011cab.2	3239.32	3056.74	660	5.38	6.96
AASDHPPT	uc001pjc.1,uc001pjd.1,uc010rvn.1	2861	2678.42	397	3.69	4.78
AASS	uc003vka.3,uc003vkb.3,uc011knu.2,uc011knv.2,uc011knw.2	5900.41	5717.83	610	2.66	3.44
AATF	uc002hni.3	2141	1958.42	399	5.07	6.56
AATK	uc010dhz.3,uc010dia.3,uc021ueu.1	5089	4906.42	38	0.19	0.25
AATK-AS1	uc010wuk.1,uc010wul.1	1537	1354.42	0	0	0
AB000466	uc003ggg.1	3001	2818.42	0	0	0
AB007962	uc001eso.1	5053	4870.42	13.2	0.07	0.09
AB059369	uc021xlu.1	123	3.01	0	0	0
AB062081	uc011mvt.1	407	224.84	1	0.11	0.14
AB062083	uc021tnv.1,uc021tny.1	251	76.14	1.11	0.36	0.47
AB073649	uc003qhb.3	2906	2723.42	8	0.07	0.09
AB074160	uc003tqd.3	4334	4151.42	0	0	0
AB074162	uc004bos.3	2239	2056.42	0	0	0
AB074166	uc009wle.2	4851	4668.42	0	0	0
AB074188	uc003jrq.3	2094	1911.42	0	0	0
AB075489	uc021oly.1	2862	2679.42	0	0	0
AB075492	uc021zhg.1	2631	2448.42	3	0.03	0.04
AB209061	uc002dtz.1	4067	3884.42	93.58	0.6	0.78
AB209185	uc003ydc.1	1912	1729.42	0	0	0
AB209315	uc021wef.1	1927	1744.42	0	0	0
AB209621	uc031rzy.1	5446	5263.42	1.01	0	0.01
AB231702	uc001nok.2	877	694.42	0	0	0
AB231703	uc001oco.3	217	48.6	0	0	0
AB231705	uc001pli.1	707	524.42	0	0	0
AB231710	uc001pqd.3	247	72.72	33.08	11.32	14.66
AB231711	uc009yzi.2	153	11.27	0	0	0
AB231721	uc001nne.1	206	40.6	0	0	0
AB231722	uc001nnk.1	158	13.26	0	0	0
AB231723	uc001piq.1	174	20.8	0	0	0
AB231724	uc001phf.3	157	12.85	0	0	0
AB231729	uc001now.2	411	228.81	0	0	0
AB231731	uc001nov.2	529	346.47	0	0	0
AB231739	uc021qjc.1	289	110.27	0	0	0
AB231741	uc021qjd.1	198	35.13	0	0	0
AB231742	uc001njg.1	163	15.43	0	0	0
AB231761	uc001npw.1	143	7.81	0	0	0
AB231779	uc001lxz.1	886	703.42	0	0	0
AB231784	uc001pcz.3	167	17.29	0	0	0
AB240015	uc002bfp.1	590	407.44	0	0	0
AB372727	uc011arw.2	94	0	0	0	0
AB429224	uc009ypx.3	1155	972.42	13	0.33	0.43
AB488780	uc021qqx.1	628	445.43	0	0	0
AB586698	uc021pjs.1	274	96.5	0	0	0
